id,type
{03495839-8145-4A09-A5B2-E9F4DEE502F2},Irish Pseudonymn
{057183E8-CD27-4F9D-9D36-FADEA0F8D601},Irish Pseudonymn
{13140B98-53F3-441E-95CB-130C23B2809C},Irish Maiden
{1B53371F-FF73-4709-A971-937C577DF894},Published under
{28716C88-88CF-4D1A-B967-9779812B328D},Irish Maiden
{2D2618A8-A625-4AFF-8844-4BF62C7B6E65},Pseudonymn
{2E0F8EED-B891-4A57-A019-4A5F945592A5},Irish Aristocratic
{35B3DE8C-3A3F-4BFA-9B31-48D32679D11D},Married
{4C1AB5BE-19F0-4708-AA53-FF232B0C09B5},Irish Married
{5D100BE0-0B8C-4489-B799-59DE75938DD6},Pseudonym
{61F3BFD4-7727-495E-83E1-FB84DB7E4364},Irish Published Under
{6364592C-F4A5-4B49-842E-45041DEC6D6E},Irish Published Unde
{640E43AD-A549-41A3-8729-2CC1F6E158C0},Maiden
{6CEDDC3E-8C31-4A05-83DB-15024F2AECD8},Irish Published Under
{73F60B0E-6777-40D9-B79C-3EB7A684BA8E},Irish Religious
{75D30F20-8077-482D-90BE-4347311C7510},Aristocratic
{7CFAADA1-3B4D-463F-8BB8-149728473FBA},Religious
{92815BC5-DD79-402A-90CE-01390923967F},Irish Aristocratic
{9480FA3A-B077-49E8-AAFE-465E75093E61},Nickname
{9714CFD4-ECF6-43F7-89FF-195BEDCD31C8},Irish
{BFFD91E7-55ED-40FF-AA51-3EB6A9165A0B},Irish Religious
{F2B15130-B4B4-4564-96F3-7A569795A345},Irish Married
